infer_us,l0_us,l1_us,l2_us,sm_us,confidence,free_ram,peak_stack
10240,6940,2784,516,2692,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6944,2780,516,2688,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2780,520,2692,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6940,2784,516,2692,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2780,520,2696,7.3,1290,97
10240,6940,2784,516,2684,7.3,1290,97
10240,6936,2784,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2784,516,2692,7.3,1290,97
10244,6936,2788,520,2684,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10244,6936,2788,520,2684,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10244,6936,2788,520,2688,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10248,6940,2788,520,2688,7.3,1290,97
10244,6944,2788,512,2692,7.3,1290,97
10240,6940,2784,516,2692,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6936,2784,520,2688,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10244,6936,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2780,520,2692,7.3,1290,97
10240,6940,2784,516,2692,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10244,6944,2784,516,2692,7.3,1290,97
10240,6940,2780,520,2692,7.3,1290,97
10240,6940,2784,516,2684,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10244,6940,2788,516,2692,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2780,520,2692,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10244,6944,2784,516,2692,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10244,6936,2788,520,2684,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10244,6944,2788,512,2692,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6936,2788,516,2684,7.3,1290,97
10244,6936,2788,520,2684,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2780,520,2696,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6936,2784,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6944,2780,516,2688,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6944,2780,516,2692,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2784,516,2692,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10244,6944,2780,520,2688,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6944,2780,516,2692,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10244,6936,2788,520,2684,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6936,2784,520,2684,7.3,1290,97
10244,6944,2788,512,2692,7.3,1290,97
10240,6940,2780,520,2692,7.3,1290,97
10244,6940,2788,516,2688,7.3,1290,97
10248,6944,2788,516,2692,7.3,1290,97
10244,6936,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10244,6936,2788,520,2688,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10244,6944,2784,516,2692,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10248,6944,2788,516,2692,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6944,2780,516,2692,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10244,6944,2784,516,2692,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10244,6944,2784,516,2692,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2780,520,2696,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2784,516,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6936,2784,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2780,520,2696,7.3,1290,97
10244,6944,2784,516,2692,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6944,2780,516,2692,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6932,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10244,6944,2784,516,2692,7.3,1290,97
10240,6940,2780,520,2696,7.3,1290,97
10240,6936,2788,516,2684,7.3,1290,97
10240,6940,2780,520,2692,7.3,1290,97
10240,6944,2780,516,2688,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10244,6944,2784,516,2692,7.3,1290,97
10244,6936,2788,520,2688,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2780,520,2696,7.3,1290,97
10244,6940,2788,516,2692,7.3,1290,97
10240,6940,2788,512,2696,7.3,1290,97
10240,6940,2780,520,2696,7.3,1290,97
10244,6944,2780,520,2692,7.3,1290,97
10244,6944,2780,520,2688,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6940,2788,512,2692,7.3,1290,97
10240,6936,2788,516,2688,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10240,6944,2784,512,2692,7.3,1290,97
10240,6940,2780,520,2688,7.3,1290,97
10244,6944,2788,512,2692,7.3,1290,97
