infer_us,l0_us,l1_us,l2_us,sm_us,confidence,free_ram,peak_stack
17680,10868,6108,704,3960,0.0,1210,97
17680,10864,6112,704,3956,0.0,1210,97
17684,10868,6108,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17684,10860,6112,712,3960,0.0,1210,97
17684,10864,6108,712,3952,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17684,10868,6108,708,3956,0.0,1210,97
17684,10864,6112,708,3960,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17676,10864,6108,704,3960,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17684,10868,6108,708,3956,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17684,10864,6112,708,3960,0.0,1210,97
17676,10856,6112,708,3960,0.0,1210,97
17688,10864,6112,712,3952,0.0,1210,97
17680,10860,6108,712,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10860,6108,712,3956,0.0,1210,97
17676,10856,6112,708,3960,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17676,10864,6108,704,3960,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10864,6108,704,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10864,6112,704,3956,0.0,1210,97
17684,10868,6108,708,3956,0.0,1210,97
17680,10864,6112,704,3956,0.0,1210,97
17684,10864,6112,708,3952,0.0,1210,97
17684,10868,6108,708,3956,0.0,1210,97
17680,10860,6108,712,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17684,10864,6112,708,3952,0.0,1210,97
17688,10868,6112,708,3952,0.0,1210,97
17680,10860,6108,712,3960,0.0,1210,97
17684,10868,6108,708,3956,0.0,1210,97
17684,10864,6112,708,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17676,10864,6104,708,3956,0.0,1210,97
17684,10868,6112,704,3956,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17680,10860,6108,712,3956,0.0,1210,97
17680,10868,6112,700,3956,0.0,1210,97
17680,10868,6108,704,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17688,10864,6112,712,3952,0.0,1210,97
17680,10860,6112,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17684,10860,6112,712,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17684,10864,6112,708,3960,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17680,10864,6112,704,3956,0.0,1210,97
17688,10864,6112,712,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17684,10860,6112,712,3960,0.0,1210,97
17676,10864,6112,700,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17680,10860,6108,712,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17676,10864,6108,704,3960,0.0,1210,97
17684,10864,6108,712,3952,0.0,1210,97
17684,10868,6108,708,3956,0.0,1210,97
17680,10860,6108,712,3956,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17680,10860,6108,712,3956,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17684,10860,6112,712,3960,0.0,1210,97
17676,10864,6112,700,3956,0.0,1210,97
17684,10864,6112,708,3952,0.0,1210,97
17688,10868,6112,708,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17684,10864,6112,708,3952,0.0,1210,97
17684,10860,6112,712,3960,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17680,10860,6108,712,3956,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10864,6108,704,3960,0.0,1210,97
17676,10864,6108,704,3960,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10864,6108,704,3960,0.0,1210,97
17676,10864,6108,704,3960,0.0,1210,97
17688,10868,6112,708,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17684,10860,6112,712,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17688,10868,6112,708,3952,0.0,1210,97
17684,10868,6108,708,3956,0.0,1210,97
17676,10864,6104,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17672,10868,6100,704,3960,0.0,1210,97
17688,10864,6112,712,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17676,10864,6112,700,3956,0.0,1210,97
17684,10864,6112,708,3952,0.0,1210,97
17676,10864,6104,708,3956,0.0,1210,97
17684,10860,6112,712,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17688,10864,6112,712,3952,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10864,6112,704,3956,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10864,6112,700,3956,0.0,1210,97
17676,10864,6108,704,3960,0.0,1210,97
17684,10864,6112,708,3952,0.0,1210,97
17684,10864,6112,708,3952,0.0,1210,97
17680,10860,6108,712,3960,0.0,1210,97
17680,10860,6108,712,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17680,10864,6108,708,3952,0.0,1210,97
17676,10856,6112,708,3960,0.0,1210,97
17680,10868,6104,708,3960,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17684,10868,6112,704,3956,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17680,10860,6108,712,3956,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17684,10868,6108,708,3952,0.0,1210,97
17684,10868,6108,708,3956,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10864,6104,708,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17684,10868,6108,708,3956,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17680,10868,6108,704,3952,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17680,10868,6104,708,3960,0.0,1210,97
17680,10868,6108,704,3960,0.0,1210,97
17676,10864,6112,700,3956,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17680,10868,6108,704,3956,0.0,1210,97
17684,10864,6108,712,3956,0.0,1210,97
17680,10860,6112,708,3960,0.0,1210,97
17676,10864,6108,704,3960,0.0,1210,97
17684,10864,6112,708,3960,0.0,1210,97
17684,10864,6108,712,3952,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10856,6112,708,3960,0.0,1210,97
17676,10856,6112,708,3960,0.0,1210,97
17676,10860,6108,708,3956,0.0,1210,97
17676,10864,6108,704,3956,0.0,1210,97
17684,10864,6112,708,3960,0.0,1210,97
